Meanings,English Definition,POS,J Translation
convention,large formal assembly,n,大会；慣習；条約
conventional,Following the common attitudes and practices,adj,従来の
convert,"To change form, character, or function to another",verb,変換する
cooperation,"instance when someone agrees to work with at least one other person, to get something done",n,協力
core,important central part of something,n,中核部；髄
corporate,Concerning (usually large) companies,adj,法人組織の；団体の
corporation,big company or a combination of several companies,n,法人；会社
correspond,To have similarity or equality with something,verb,対応する;  一致する
counsel,To listen and give expert advice to someone,n,助言；弁護士
craft,To make by hand and with much skill,verb,工芸品
crew,organized group of workers (e.g. on a ship),n,乗組員
crisis,unstable situation of extreme danger or difficulty,n pl.,危機
criterion,standard used to make judgments or decisions,n,基準
critic,person who judges (e.g. art) and gives opinions,n,評論家
critical,being important or serious; vital; dangerous,adj,重大な；危機の
criticism,negative judgment of something,n,批判
criticize,To say that someone or something is bad,verb,批判する
crop,"Plants grown on a farm for food, e.g. corn or rice",n,作物
crucial,Extremely important,adj,決定的な
currency,money system that a country uses,n,通貨
curtain,piece of cloth used to cover a window,n,カーテン
curve,smooth rounded line that is not straight,n,曲線，曲がり
custom,What is usual or normal,n,習慣
cycle,series of regular and repeated actions,n,周期；循環，循環する
damn,Used as expletives,adv,ちくしょう，すごく
data,Facts or information used to calculate or analyze,n pl.,データ
database,data stored in logical order to aid retrieval,n,データベース
debate,general public discussion of a topic,n,討論
decade,period of 10 years,n,10年
declare,To say something in an official or sure way,verb,発表する
decline,To not accept an invitation or offer; refuse,verb,断る
decrease,"To reduce the size, amount or number of something",verb,減る，減少する
dedicate,"To give your energy, time, etc. completely to someone",verb,捧げる；専念する
defeat,To be victorious over an enemy/team/disease; beat,verb,敗北，負かす
defend,To protect against an attack,verb,守る
deficit,property of being an amount by which something is less than expected or required,n,赤字；不足
define,To explain the meaning of words,verb,定義する
definition,"explanation of word's meaning, as in dictionaries",n,定義
delay,To do something later than is planned or expected,verb,遅らせる，遅延
democracy,system of government in which everyone is equal,n,民主主義 
democratic,of democracy; entitling the people to power,adj,民主的な
demonstrate,To show how something works (e.g. product),verb,証明する；実証する
demonstration,Explanation of how something works (e.g. product),n,証明；実証
density,degree to which an area is filled or covered,n,密度
deposit,part payment so that an item will be kept for you,n,保証金
derive,Formed or developed from something else; not original,verb,引き出す
description,Something that tells you what something is like or looks like,n,記述；説明；描写
despite,Without being affected by something; in spite of,prep,〜にもかかわらず
destruction,Damaging something so badly that it no longer exists,n,破壊
device,"object, machine, or equipment for a specific use",n,装置；デバイス
devote,To decide to use or give something for something else,verb,ささげる；当てる
dialog,conversation between two or more individuals,n,対話
differ,To be different; to be not like others,verb,異なる
digital,using electronic signals or computers,adj,デジタルの
dimension,"measurable extent of length, width, or height",n,寸法；面積；局面
disagree,To have a different opinion ; to fail to agree,verb,反対する
disaster,state of extreme ruin and misfortune,n,災害
discount,Make the price of something lower,n,割引，割り引く
disk,"thin or flat, round object, e.g. for storing data",n,ディスク
dismiss,To send someone away,verb,解雇する；却下する
disorder,state of confusion or a lack of organization,n,無秩序；疾患；障害
display,to put so they can be seen or be bought,verb,表示する；展示する，表示；展示
dispute,argument between two or more parties about something,n,論争；紛争，論争する
distant,Existing or happening far away in space,adj,遠い
distinct,clearly different in nature from something else,adj,はっきりした；明白な
distinction,special quality that makes something different,n,区別；差異
distinguish,To be a feature to make something clearly different from others,verb,区別する
distribute,To hand in or deliver something to people,verb,分配する
diversity,state or quality of having a range of different things and ideas,n,多様性
division,act of dividing; something that divides,n,分割；部門
document,official (printed) record that gives information,n,文書
domestic,Concerning or made in your own country,adj,国内の
dominate,To control; rule; enjoy a commanding position in,verb,支配する
draft,first attempt at a piece of writing,n,下書き；草案，原稿を書く；下書きをする
eastern,being in the area to the east,adj,東方の
edition,"form in which a book, magazine, or other text is released",n,版
effective,working efficiently to produce a desired result,adj,効果的な
effectively,In a way that produces the desired result,adv,効果的に
efficiency,working well; producing something without waste,n,効率
efficient,Able to produce results without waste,adj,効率的な；有能な
electronic,Operating by use of electricity; digital,adj,電子の
element,essential or particular part of something,n,要素
eliminate,To completely remove; to get rid of,verb,排除する
embrace,act of holding someone closely,n,受け入れる；囲む；抱擁する
emerge,To rise or appear out of some background,verb,出現する
emergency,sudden event needing an immediate action,n,緊急事態
emphasis,"special attention, importance, or force",n pl.,強調
emphasize,To stress the items that are important,verb,強調する
enable,To make it possible to do something,verb,可能にする
encounter,To unexpectedly be faced with or experience,verb,出会う，出会い
enhance,Make effect to increase or improve,verb,高める；強化する
ensure,"To make something sure, certain, or safe",verb,保証する；確保する
enterprise,Willingness to take new ventures; initiative; business organization; plan,n,企業； 事業； 企て
entitle,To give a right to someone,verb,資格をあたえる; 題名をつける
entrance,way into a place,n,入り口；入場
entry,act of entering,n,入場
episode,show which is part of a larger story,n,エピソード；出来事
equation,mathematical statement showing things to be equal,n,方程式
equivalent,"Having equality in value, use or meaning",adj,同等の；相当する，同等物
era,"period of time that is characterized by particular events, qualities, conditions, or individuals",n,時代
error,Something that is not correct; a mistake,n,エラー；誤り
essay,short written work that displays someone's opinions or beliefs regarding a particular subject,n,小論文; エッセイ
essential,Extremely important and necessary,adj,不可欠な；本質的な
estimate,"guess or calculation of cost, size or value",n,見積もり
ethnic,Connected with people who shares a cultural tradition,adj,民族的な
evaluate,To form an idea to judge something carefully,verb,評価する
evaluation,judgment about the value or condition of something,n,評価
evolution,scientific theory that states that plants and animals change slowly over time according to the environments they live in,n,進化
evolve,To slowly change or develop into something better,verb,進化する； 発展する
exceed,To be greater in number than something,verb,超える
exception,Something different or not included,n,例外
excess,amount that is more than necessary,n,過剰，過度の
exclude,To prevent someone from access to a group,verb,除外する
executive,a senior manager in a business or organization,n,幹部
exhibit,To display or make available for people to see,verb,展示する；表す
exhibition,public event at which an object or group of objects is put on display for people to look at,n,展示；展覧会
expand,To become bigger or larger in size and amount,verb,拡大する
expansion,act of EXPANDING or becoming bigger,n,拡大
expenditure,amount of money used during a certain time,n,支出；費用
experiment,test performed to assess new ideas or theories,n,実験
experimental,using techniques that are different or untried before,adj,実験的な
expert,skillful person with special knowledge,n,専門家
explore,To examine something in detail to learn about it,verb,探索する
export,To send goods to be sold in another country,verb,輸出する
extension,extra time allowed to complete something,n,時間延長
extensive,Large; full or complete,adj,広い
extent,range or space included in something,n,範囲；広がり
external,Outside of something,adj,外部の
extract,Take something out of something else,n,引き出す；抽出する
extraordinary,Beyond what is ordinary; very unusual; remarkable,adj,異常な
facility,piece of equipment or buildings with a special use,n,施設
factor,Something that influences a result,n,要因
factory,building where things are made,n,工場
fade,To lose strength or freshness,verb,しぼむ；色あせる
failure,act or result of not achieving your goals,n,失敗；落第；不足
false,Not real or genuine,det,うその
federal,system of government,adj,連邦
fee,amount of money paid for a particular service,n,料金
festival,cultural event with a program of events,n,祭り
fiction,"book or story including ideas , people and events that are not real",n,架空；フィクション
filter, device that removes unwanted substances from a liquid or gas,n,ろ過器；フィルター，ろ過する；フィルターにかける
flexible,Capable of being easily bent changed without breaking,adj,柔軟な
focus,main purpose or center of interest or activity,n,焦点
forecast,"prediction of some future thing, e.g. the weather",n,予報
formal,behaving well/politely; wearing your best clothes,adj,正装の
format,"form, design, or arrangement of something",n,体裁；形式
formation,"process of creating, or making into a particular shape",n,形成
former,"being something previously, but not now",det,前の，前者
formula,"plan, rule or method for doing or making something",n,方法
foundation,underground base on which building is constructed,n,土台
fragment,part that is broken off of something,n,破片
framework,basic structure of something,n,構成；構想
frequency,How often something happens,n,頻度
frequent,Happening often,adj,頻繁な
frequently,Often; regularly,adv,頻繁に
fuel,material used to produce heat or power when burned,n,燃料
fulfill,To do something that was promised or required,verb,満たす；果たす
function,what something is intended to be used for; purpose,n,機能
functional,useful; not just for decoration,adj,機能的な
fundamental,"Forming a necessary part, base, or core",adj,基本的な
furthermore,In addition to what has been said,adv,さらに
gallery,place to look at various types of art,n,画廊
gap,distance between two objects,n,すきま；相違
gaze,direction you are looking,n,凝視
gender,state of being male or female,n,性別
gene,part of cell in a that controls the development and appearance of a living thing,n,遺伝子
generate,To create or be produced or bring into existence,verb,生み出す
genetic,"Concerning GENES or the scientific study of how a living thing's appearance, growth, and development are determined and transferred between generations",adj,遺伝の
genuine,"Being real, actual, and not false or artificial",adj,本物の
gesture,"bodily movement that expresses a particular meaning, idea, or emotion",n,身振り；ジェスチャー
global,"Concerning, affecting, or involving the entire world",adj,世界的な
gradually,Occurring in a slow manner over a period of time,adv,徐々に
graduate,Concerning university courses taken after receiving a four-year degree,adj,卒業する，卒業生，大学院の
grain,seeds of plants used for food,n,粒；穀物
grateful,Feeling or showing thanks; thankful,adj,感謝している
greet,To meet someone with friendly words and actions ; to welcome,verb,挨拶する；出迎える
guideline,"rule, instruction or principle",n,指針
guitar,stringed musical instrument played with the fingers,n,ギター
harbor,area of water protected by land and used by ships,n,港
hence,"From now, later than the present time",adv,それ故
highlight,best or most interesting part of something,n,見所；ハイライト，強調する
hint,"To indicate what you think, feel, know without saying it directly",verb,ほのめかす，ヒント
host,person who is entertains guests,n,主人，開催する
household,Concerning a house,n,家庭 ; 世帯
humor,quality that makes something funny,n,ユーモア
hypothesis,idea that leads to further study or discussion,n pl.,仮説
immigrant,person moving to another country to live there,n,移民
implement,tool,n,実行する
implementation,act of implementing (providing a practical means for accomplishing something); carrying into effect,n,履行；実施
implication,possible effects or results from an action or event,n,含意
imply,"to suggest something, without saying it directly",verb,暗に意味する
import,To bring Items or GOODS from one country into another,verb,輸入する，輸入
importance,being important; having a big effect on,n,重要性
impose,To make someone to do or endure something,verb,課す；強いる
impression,effect or feeling resulting from an experience,n,印象
incentive,Something that encourages a person to work hard,n,刺激；動因
incident,"event, usually unusual or important",n,事件
incorporate,To include or involve as part of something else,verb,合併する；組み込む；法人組織化する
independence,having the freedom to make your own decisions ,n,独立
independent,making your own decisions; not controlled by others,adj,独立した
index,written or printed (usually alphabetical) list,n,索引；目録；指針
infant,child in the beginning stage of life; a baby,n,幼児
infection,act or state of becoming INFECTED with a disease,n,感染症
inflation,continual rise in the prices of products,n,インフレーション ；膨張
initial,Existing or occurring at the beginning,adj,最初の，頭文字
initially,At first; originally,adv,初めは
initiative,ability to decide or act upon things yourself without depending on someone else,n,構想；戦略
innovation,new invention or idea that is created,n,革新
input,"To put in information, advice or opinions",verb,入力；インプット
inquiry,request for information,n,問い合わせ；質問；調査
insight,very good understanding of something a clear idea about how something works,n,洞察
inspire,To make someone have the desire to do something,verb,刺激を与える；触発する
install,To set up a piece of EQUIPMENT so that it is ready to use,verb,導入する；設置する；インストールする
institution,organization created for a particular cause or purpose,n,機関; 施設
institutional,Being related or similar to an institution,adj,制度の
integrate,to combine together; make into one thing,verb,統合する
intellectual,person who uses the mind intelligently,n,知的な
intelligence,ability to learn things or to consider situations,n,知能
interaction,process of two or more people or things affecting each other; the process of INTERACTING,n,相互作用；交流
interior,Being the inside part of something; being inside something,adj,内部；室内；インテリア
internal,Within or inside,adj,内部の
international,"done or relating to several countries, not just your own",adj,国際的な
interpret,to translate what is said into another language,verb,通訳する
interpretation,explanation of the meaning of something,n,解釈
intervention,act of coming between two or more parties in a situation or disagreement to try to change the result,n,介入；仲裁
invent,To create something useful for the first time,verb,発明する
invest,To use resources to build for the future,verb,投資する
investment,something purchased hoping its value will increase,n,投資
investor,person who spends money to help business grow,n,投資家
isolate,To keep in a place or situation apart from others,verb,隔離する；孤立させる
jail,place to hold criminals being punished for a crime,n,刑務所
joint,point at which two things meet (e.g. a road),n,継ぎ目
journal,book in which brief daily accounts of events are written,n,新聞；雑誌；定期刊行物
journalist,"person who writes news reports for newspapers, magazines, television, or radio",n,ジャーナリスト
jury,"group of 12 citizens who listen to information about the problem or crime, receive instructions from the judge, and decide the guilt or innocence of the person on trial",n,陪審；審査員
justify,To give reasons why you did something or why it is right,verb,正当化する
label,a piece of paper or material to identify something,n,ラベル，ラベルをつける；名前をつける
landscape,natural scenery of a place,n,風景
latter,the second or last mentioned thing,det,後の，後者
laughter,action or sound of laughing,n,笑い
launch,to put a rocket into the air; put a ship into the water,verb,始める；発射する
layer,one of several sheets of a material or object,n,層
leather,"chemically tanned animal skin, e.g. for shoes",n,革；革製品
lecture,talk or speech about a particular subject,n,講演する，講演
legislation,act or process of writing and passing laws,n,法律制定
liability,"something that is owed to someone else, e.g. a debt",n,責任；負債
liberal,Believing government should actively support social needs,adj,自由主義の
link,To join or connect together,verb,つなぐ；連結する，輪
liquid,basic state of things that is similar to water; not solid or gas,n,液体
literally,In a way that expresses the exact or LITERAL meaning of something,adv,文字通り
literary,Concerning or concerned with literature,adj,文学の
literature,"Writings that are valued as works of art, esp. fiction, drama and poetry",n,文学；文献
logic,"proper, valid sensible reasoning",n,論理
luxury,Something expensive or costly that is not needed which is bought for pleasure,n,豪華さ；贅沢品
majority,amount that is more than half of a group,n,大多数
manufacture,to produce large numbers of products in a factory,verb,製造，製造する
manufacturer,group or company that makes a certain product,n,製造業者；メーカー
margin,"edge or border of a page on above, below",n,余白；縁；限界；利益
mature,"Being an adult, being fully developed physically",adj,成熟した
mayor,head of city government,n,市長
meanwhile,At or during the same time ; in the meantime,adv,その間に；一方では
mechanism,piece of machinery,n,機構；メカニズム
medium,"middle size, something between other things",n,中間；媒体；手段；マスコミ機関
menu,list of dishes available at a restaurant,n,メニュー
mere,Just enough,adj,単なる
merely,"Only, simply, or nothing more than",adv,単に
method,(organized and planned) way of doing something,n,方法
minimum,lowest number or amount that is possible,n,最小限
mixture,Something made by combining two or more things,n,混合
mobile,Capable of moving from one place to another,adj,携帯電話
mode,way of acting or doing something,n,状態；方法
moderate,Average in size or amount,adj,適度の
modify,To make minor change to something,verb,変更する
module,part or unit with a specific job,n,モジュール
monitor,electronic screen on which you can see images,n,モニター
moral,in a way considered proper and good by most people,adj,道徳；モラル
moreover,In addition to what has been said,adv,さらに
mortgage,long-term loan from a bank for buying property,n,抵当；住宅ローン
motion,a movement; the process of moving,n,動き
motivate,to make someone enthusiastic about doing something,verb,やる気にさせる
motivation,mental drive in a person that makes him or her do something,n,動機；モチベーション
multiple,Having or involving more than one of something,adj,複数の
museum,"building to display art, science, or history objects",n,博物館
mutual,Shared between two or more people,adj,互いの; 交互の
narrative,the telling of a story,n,物語
negative,"Being harmful, unwanted or unhelpful",adj,否定の；後ろ向きの，否定；拒否
neglect,To fail to take care of something,verb,無視する；怠る
negotiate,To have a formal discussion to reach an agreement,verb,交渉する
negotiation,a formal discussion to reach an agreement,n,交渉
net,crossed rope/fibers with partly open pattern,n,網；ネット
network,system of connections,n,ネットワーク；網
nevertheless,in spite of what has just been said; nonetheless,adv,それにもかかわらず
notion,idea or opinion about doing something,n,概念
novel,written fiction story,n,小説
nuclear,Concerning or involving the center of an ATOM,adj,核の；原子力の
numerous,Existing in large numbers,adj,多くの
objective,something you decide you want to do; goal,n,目標
obligation,"duty that must be performed because of a law, rule, agreement, or promise",n,義務
occupy,"To fill a time, a space, or an area",verb,占める
ocean,large body of salt water that covers most of the surface of the earth,n,海
offense, criminal act; something that causes hurt,n,犯罪；攻撃
opera,play with music in which all the words are sung,n,オペラ 
opponent,person that you are competing against in a game or contest,n,対戦相手；反対者
organic,Concerning food made with few or no chemicals,adj,有機体の；オーガニック
origin,point at which something begins or is created,n,起源
outcome,"Something that happens as a result, consequence",n,結果
outline,To overview or summarize the important points of something,verb,概要，概要を述べる
output,amount of something that is produced,n,生産；出力
overall,"Viewed as a whole; in general, not as details",adj,全部の；総合的な，全体として
overcome,To succeed in a struggle against; defeat,verb,克服する
overseas,In or to a foreign country that is across a sea,adv,海外；海外の
pace,rate of speed at which someone or something moves or happens,n,ペース；一歩；速度
pale,Light in color,adj,青白い；淡い
panel,group of people who answer questions or give opinions,n,パネル；委員会
paragraph,section of writing that usually deals with one subject,n,段落
parallel,Very similar and often occurring at the same time,adj,平行な，平行線
participant,person who is actively involved and included in something,n,参加者
participate,To take part with others in doing something,verb,参加する
participation,act of being involved in something,n,参加
passage,narrow path or space through which people or objects can go through,n,通路；通過 
passenger,person who is travelling in a vehicle,n,乗客
passion,"powerful, positive feeling about something",n,情熱
peak,Being at the highest or best level of something,n,頂点に達する
peer,"person of the same age, class or background as another",n,対等者；同級生；貴族
penalty,Punishment for committing a crime or offense,n,罰
perceive,To notice or become aware of something,verb,知覚する；気づく
perception,way in which one sees or understands something,n,知覚；認知
permanent,Lasting forever ; not temporary or changing,adj,永続的な
permission,right to do something as allowed by another,n,許可
permit,To allow something to happen; to give permission,verb,許可する
personality,person_s unique character; the way that a person usually acts,n,個性；性格
personnel,group of people who work for a company,n,人事部；人員
perspective,"way of thinking, an attitude toward something",n,視点；遠近法
persuade,"to get you to do/believe something, by giving reasons",verb,説得する
phase,distinct part or step in a process,n,段階
phenomenon,fact that can observed and studied,n,現象
philosophy,study of ideas about the fundamental nature of life,n,哲学
phrase,group of words that forms a unit and expresses a single meaning,n,言い回し；語句
pilot,Performed to see if a larger or more detailed thing should be done,n,飛行士；パイロット，操縦する；導く
platform,"flat, raised structure that people stand on",n,プラットフォーム；台
plot,"To plan something in secret, often something bad",verb,企み；陰謀，たくらむ
poll,process of gathering people's opinions about something by asking a question or series of questions about a particular subject,n,投票；世論調査
portion,part of a whole,n,部分
portrait,"painting, drawing or photograph of a person's head and shoulders",n,肖像
pose,to put someone in a position to be photographed,verb,姿勢；ポーズ，ポーズをとる
potential,capable of happening or becoming reality,adj,可能性，潜在的な
potentially,that could happen or become reality,adv,潜在的に
poverty, state of being poor,n,貧困
praise,To express approval of something or someone,verb,称賛，称賛する
precise,Very accurate and exact expression or detail,adj,精密な；正確な
precisely,In an exact and accurate manner,adv,正確に
predict,To guess or estimate what will or might happen,verb,予測する
premise,building and the area of land that it rests upon,n,前提；土地；建物
presence,condition or state of someone or something being at a certain place,n,出席
preserve,To keep or maintain in an unchanged or perfect condition,verb,保存する
primarily,in the most basic or important way,adv,主に
primary,"most important, most basic or essential",adj,主要な；第一位の
principal,Being of the most importance,adj,主要な
principle,natural law that explains how things work,n,原理；原則
prior,Existing or coming earlier in time,adj,前の; 優先する
priority,fact that is more important than other things,n,優先順位
privilege,advantage or right that is given to only a certain person or group of people,n,特権；特典
prize,Something that is won in a contest or given as an award,n,賞品
procedure,usual or standard way in which something is done,n,手順
proceed,To continue to do something; carry on,verb,続ける；実施する
profile,description listing the basic information about a person or group,n,紹介；プロフィール，概略を書く；人物評を書く
profit,To earn money from something,verb,利益を得る
promote,To try to encourage the popularity and sales of a product,verb,推進する；促進する；奨励する
promotion,act of advertising a product to people,n,促進；販売促進
prompt,Being done quickly and with no delay,verb,刺激する；促す，刺激；促進
proof,Something which shows that something else is true,n,証拠；証明
proportion,amount that is a part of a whole thing,n,割合
prospect,"Wide view of a landscape, etc",n,見込み；可能性
protein,"substance found in some foods, such as meat, that is needed by the body to stay healthy",n,タンパク質
province,area that a country or nation is divided into,n,州；省；領域
provision,clause in a legal document,n,規定；条項；条件
psychological,Having to do with the mind,adj,心理的な
publication,"process of producing a book, magazine",n,発表；出版
publisher,business that produces books or magazines,n,出版社
pupil,"person who is being taught, in a school, etc",n,児童；生徒
pursue,To follow and try to catch or to reach a goal,verb,追求する
quantity,amount or number of something,n,量
racial,Concerning or according to race,adj,人種の
radical,very new and different from what is traditional,adj,抜本的な；急進的な
rail,"long, thin piece of metal",n,鉄道；レール
random,"Chosen, done without a particular plan or pattern",adj,無作為の
rank,To rate people in higher or lower position relative to others,verb,階級；地位，順位付けする
ratio,"quantitative relationship in size, etc",n,比率
raw,Being uncooked,adj,生の；未加工の
rear,To bring up animals e.g. horses as a farmer,verb,育てる
recognition,Accepting that something is true or that it exists,n,認識
recruit,"To get people to come and work, join or study with you",verb,採用する；募集する，新入社員
reflect,to bounce back off a surface e.g. light,verb,反映する；反射する
reflection,"image that you see in a mirror, glass, or water",n,反射；反響
reform,To improve society by removing abuse and injustices,verb,改革する，改革；改良
refugee,person who has been forced to leave his or her country due to a war or for religious reasons,n,難民
regret,To be sorry about something,verb,後悔する，後悔
regulate,"To set or adjust the amount, restrict something",verb,規制する
regulation,official rule that controls how something is done,n,規制
reject,"To refuse, deny to believe, accept, or consider",verb,拒否する
relative,Measured or considered in comparison to something else,n,親戚
relatively,In a manner that measures or compares something to something else,adv,比較的に；相対的に
relevant,Concerning a subject in an considerable way,adj,関連した
religion,set of beliefs about a god or gods,n,宗教
religious,Concerning religion or faith,adj,宗教的な
remote,"Being far away from people, towns, and other things that are familiar",adj,遠い
reputation,common opinion that people have about someone,n,評判
request,To ask for something,verb,依頼する，依頼
rescue,To save something from danger or harm,verb,救助する，救助
resident,someone who lives in a particular place,adj,居住している，住民
resign,To leave a job because you want to,verb,辞任する
resolution,formal statement of the desires or decisions of a group,n,解決；決議；分解
resolve,To be determined to find an answer or to solve problems,verb,解決する
resort,"place that provides entertainment, meals, and rooms that one goes to for a vacation",n,リゾート地
resource,essential supply of something,n,資源
respectively,"With regards to each of several persons or things as mentioned, in the order they were mentioned",adv,それぞれ
respond,To say or write to answer the question,verb,返事する；反応する
response,Something said or written as an answer to something,n,返答；反応
restore,"To put or bring back into existence or use, mend",verb,回復する
restrict,To prevent someone from doing something,verb,制限する
restriction,"law or rule that controls or limits the speed, size, amount, or number of something",n,制限
retail,Concerning the business of selling products to the public for personal use,adj,小売
retain,"To continue to have or use, keep the quality",verb,保持する
reveal,"To make known, to show or prove",verb,暴露，明らかにする
revenue,Money that is made by or paid to a business,n,収入
reverse,"To change to an opposite state ,way or condition",verb,逆，反対の，逆転する
review,To carefully look at the quality of something,verb,批評，批評する
revise,"To make changes, add something to improve",verb,改訂する；復習する
revolution,sudden significant change,n,革命；回転数
reward,To give something to someone because of their good work,verb,報酬，報いる
rival,be in opposition to someone often as competitors,adj,ライバル
romantic,"Involving, causing, or relating to strong feelings of love between two people",adj,ロマンチックな
route,way to get from one place to another place,n,道
routine,Happening or done regularly or frequently,n,日課，いつもの
rural,Concerning the country as opposed to the city,adj,田舎の；農村の
sample,To try something to see if you like it (e.g. food),verb,見本；サンプル
sanction,action taken to force a country to obey laws,n,認可；制裁
satisfaction,happy feeling because of something that you did,n,満足
scan,To look for details in something by examining it carefully,verb,詳しく調べる；ざっと目を通す；スキャンする
scheme,often dishonest plan to get or do something,n,計画；構想
scholar,educated person who attends or attended school,n,学者
scope,area or range of things that something includes or deals with,n,範囲，詳しく調べる
secretary,"Employee in an office, usually working for another person, dealing with letters, typing, filing, etc. and making appointments and arrangements",n,秘書；大臣；長官
sector,area that includes certain kinds of job,n,部門
segment,part divided from the other parts of something,n,部分
sensitive,Easily hurt or damaged,adj,敏感な；繊細な
sequence,order in which things (should) happen,n,連続
session,"meeting or series of meetings of a body, such as a court or legislature",n,開催；時間；集会；セッション
severe,Very bad,adj,厳しい
sigh,To breathe out in a way to show boredom or disappointment,verb,ため息，ため息をつく
significance,importance of something; the potential for something to have a big effect,n,意義
significant,Large enough to be noticed or have an effect; important,adj,重要な
significantly,In a way that is important or noticeable,adv,著しく
silent,Not speaking or making noise,adj,静かな
slice,flat piece of food that has been cut from a bigger piece of food,n,一切れ；薄片
slope,Ground that slants downward or upward,n,傾斜
solution,Something that ends a problem,n,解決策; 解答
solve,To find a way to deal with a problem,verb,解決する
source,Produces or provides what is wanted or needed,n,源
specify,"To state, name or mention exactly and clearly",verb,指定する
sponsor,To help someone or something succeed by giving them money ,verb,出資者；スポンサー，スポンサーになる 
stain,To mark or change the color of something so it looks dirty,verb,染み；汚点，染める；汚す
stake,To bet or wager on an outcome,verb,賭け金，賞金；利害関係，賭ける
statistic,number that represents a piece of information,n,統計値
status,position or rank relative to others in a society,n,社会的地位
stem,"long, thin thing joining parts of a plant",n,幹，起因する；食い止める
stimulate,Excite to action,verb,刺激する
strain,To use too much energy that you hurt yourself,verb,こす；ろ過する
strategy,careful plan or method for achieving a goal,n,戦略
strict,command that must be obeyed,adj,厳格な
structural,Concerning or caused by structure,adj,構造の
structure,"the way something is built, arranged or organized",n,構造；組み立て
studio,"place for painting, broadcasting, etc",n,スタジオ
submit,To accept a superior force has power over you,verb,提出する
subsequent,Happening after,adj,次の; 後の
subsequently,After something else has happened,adv,後で
substance,particular type of material,n,実体；実質；内容
substantial,"Being large in degree, quantity, or size",adj,かなりの; 実質的な
substitute,person or thing that makes the place instead of something,n,代わり，代用する：置き換える
succeed,to have achieved what you were trying to achieve,verb,成功する
sufficient,Having or providing enough when needed,adj,十分な
sum,amount when all is added together; total,n,合計
summarize,To state the main or most important ideas of something,verb,要約する
summary,brief statement that gives the most important info,n,要約
supplement,add extra to support or make something complete,n,補足，補う
surgery,"medical treatment in which a doctor performs an operation, cutting into a body to remove or repair internal parts",n,手術
survey,To ask people a question about a particular topic,verb,調査する
suspend,To stop something for a period of time; to interrupt,verb,一時停止する；停職・停学にする
sustain,"To maintain, lengthen or continue to do something",verb,持続する
symbol,"action, object that represents a particular idea or quality",n,象徴；記号；シンボル
symptom,sign in the body or mind that appears to suggest that one has an illness,n,症状；兆候
tackle,attempt to force a person to the ground; often in sports such as RUGBY or American football,n,取り組む
talent,natural ability of a person to do something well,n,才能
target,a goal or amount you are trying to achieve,n,目標
task,big or small piece of work someone has to do,n,仕事；任務
technical,of practical use of machines or science in industry,adj,技術的な；専門的な
technique,way of doing by using special knowledge or skill,n,技術
temperature,"how hot or cold something is, e.g. the weather",n,温度
temporary,"Continuing for a limited time, not permanent",adj,一時的な
tender,Offer; extend,adj,柔らかい
tennis,game played by hitting a ball over a net,n,テニス
territory,area of land or ocean owned or controlled by a government or person,n,領土
terrorist,radical who employs terror as a political weapon; usually organizes with other terrorists in small cells; often uses religion as a cover for terrorist activities,n,テロリスト 
text,written part of a book or other work,n,教科書
theme,main subject to discuss or describe,n,主題；テーマ
theoretical,Involved the uncertain or yet to be proved aspects of a certain subject,adj,理論的な
theory,idea that is explain facts or events academically,n,理論
therapy,Treatment intended to help fix your problem or medical illness,n,治療
tissue,"piece of thin, soft paper that is used, in particular, for blowing and cleaning the nose",n,ティッシュ
trail,"path, usually through a field or a forest",n,跡，引きずる；後を追う
transform,To change the shape completely in a good way,verb,変換する
transition,"change from one state, movement, place, or subject to another",n,遷移
translate,To change words from one language into another,verb,翻訳する
transport,To carry things from one place to another,verb,輸送する，輸送
transportation,"act, system, or business of moving people or goods from one place to another",n,輸送；交通
trend,"general direction of developing, proceeding",n,傾向；流行
trigger,lever on a gun that you pull to fire,n,引き金；誘因，引き起こす
troop,"group of soldiers, especially horse; an organized group",n,軍隊
tube,"long, hollow object",n,管
ultimately,Done or considered as the final and most important,adv,最終的に
undergo,To experience or endure something (bad) that happens to you,verb,経験する；(治療などを)受ける
underlie,To lie or exist beneath,verb,根底にある
undertake,"To begin or attempt, commit oneself to and begin",verb,引き受ける
uniform,a set of clothes that show you are part of a group or school,n,制服，統一の
unique,unlike other things; being the only one like it,adj,独特の
universal,Done or experienced by everyone,adj,全世界の；普遍的な
universe,All of space and everything in it,n,宇宙
unlike,Appearing or being different,adj,似ていない，〜と違って
urban,Concerning a city; located in a city,adj,都会の
urge,To strongly persuade someone to do something,verb,促す，衝動；本能
variety,particular type of thing or person,n,多様性；種類
vast,Being very large in size or amount,adj,広大な
venture,(business) activity that involves taking chances or risks,n,危険を冒す；思い切って～する，危険；ベンチャー事業
versus,Used to show that a thing or person is against another thing or person,prep,～に対して
vessel,"Pot, container",n,船舶；血管
veteran,Experienced through long service or practice,n,ベテラン
via,"By going through, by way of",prep,～を経由して；～によって
victory,Success in defeating an opponent,n,勝利
violence,use of physical force to harm someone,n,暴力
virtually,In an almost complete or entire manner,adv,事実上
virus,very small living thing that causes disease or sickness and can be spread among people or animals,n pl.,ウイルス
visible,"Can see , easily seen or understood",adj,目に見える
vision,ability to see things with your eyes,n,視覚；視力
